id,time,type,head,pos,nextLine,crackType
1,4.368,0,0,90,-1,0
2,4.562,0,0,450,-1,0
3,5.948,0,0,360,-1,0
4,6.146,0,0,180,-1,0
5,7.339,0,0,270,-1,0
6,7.541,0,0,180,-1,0
7,7.74,0,0,90,-1,0
8,8.735,0,0,270,-1,0
9,8.935,0,0,360,-1,0
10,9.131,0,0,450,-1,0
11,9.323,0,0,90,-1,0
12,10.119,0,0,90,-1,0
13,10.725,0,0,180,-1,0
14,10.916,0,0,450,-1,0
15,12.108,0,0,90,-1,0
16,12.31,0,0,360,-1,0
17,12.506,0,0,450,-1,0
18,14.1,0,0,180,-1,0
19,14.1,0,0,360,-1,0
20,14.3,0,0,90,-1,0
21,14.691,0,0,360,-1,0
22,15.087,0,0,360,-1,0
23,15.285,0,0,180,-1,0
24,17.075,0,0,90,-1,0
25,17.274,0,0,450,-1,0
26,18.664,0,0,360,-1,0
27,18.861,0,0,180,-1,0
28,20.056,0,0,90,-1,0
29,20.251,0,0,180,-1,0
30,20.454,0,0,270,-1,0
31,21.249,0,0,180,-1,0
32,21.445,0,0,450,-1,0
33,21.645,0,0,360,-1,0
34,22.04,0,0,90,-1,0
35,22.04,0,0,180,-1,0
36,22.244,0,0,90,-1,0
37,22.437,0,0,90,-1,0
38,22.64,0,0,180,-1,0
39,22.834,0,0,270,-1,0
40,23.434,0,0,180,-1,0
41,23.629,0,0,450,-1,0
42,24.822,0,0,180,-1,0
43,25.021,0,0,360,-1,0
44,25.22,0,0,90,-1,0
45,26.809,0,0,90,-1,0
46,27.01,0,0,180,-1,0
47,27.403,0,0,360,-1,0
48,27.8,0,0,450,-1,0
49,28,0,0,180,-1,0
50,31.378,0,0,90,-1,0
51,31.776,0,1,270,52,0
52,31.97,1,0,270,53,1
53,32.17,1,0,270,54,1
54,32.37,1,0,270,55,1
55,32.57,1,0,270,56,1
56,32.77,1,0,270,-1,1
57,32.97,0,0,360,-1,0
58,33.17,0,0,450,-1,0
59,33.37,0,1,90,60,0
60,33.57,1,0,90,61,1
61,33.77,1,0,90,62,1
62,33.97,1,0,90,63,1
63,34.17,1,0,90,-1,1
64,34.17,0,0,360,-1,0
65,34.57,0,0,450,-1,0
66,34.97,0,1,180,67,0
67,35.17,1,0,180,68,1
68,35.37,1,0,180,69,1
69,35.57,1,0,180,70,1
70,35.73,1,0,180,-1,1
71,35.73,0,0,360,-1,0
72,35.93,0,0,270,-1,0
73,36.13,0,0,180,-1,0
74,36.33,0,0,450,-1,0
75,36.33,0,0,90,-1,0
76,37.33,0,0,360,-1,0
77,37.73,0,0,150,-1,0
78,38.13,0,1,450,79,0
79,38.43,1,0,420,80,1
80,38.73,1,0,390,81,1
81,39.03,1,0,360,82,1
82,39.38,1,0,330,83,1
83,39.73,1,0,300,-1,1
