id,time,type,head,pos,nextLine,crackType
1,1.9,0,0,90,-1,0
2,1.9,0,0,450,-1,0
3,2.267,0,0,90,-1,0
4,2.267,0,0,360,-1,0
5,2.63,0,0,180,-1,0
6,2.63,0,0,450,-1,0
7,3,0,0,90,-1,0
8,3.33,0,0,180,-1,0
9,3.83,0,0,270,-1,0
10,4.53,0,0,180,-1,0
11,4.53,0,0,360,-1,0
12,5.73,0,0,180,-1,0
13,6.1,0,0,180,-1,0
14,6.1,0,0,450,-1,0
15,6.5,0,0,90,-1,0
16,6.5,0,0,360,-1,0
17,6.83,0,0,180,-1,0
18,6.83,0,0,450,-1,0
19,7.2,0,0,360,-1,0
20,7.43,0,0,270,-1,0
21,7.67,0,0,180,-1,0
22,8.13,0,0,90,-1,0
23,8.13,0,0,450,-1,0
24,8.63,0,0,90,-1,0
25,8.63,0,0,450,-1,0
26,8.8,0,0,180,-1,0
27,9,0,0,450,-1,0
28,9.1,0,0,180,-1,0
29,9.3,0,0,90,-1,0
30,9.3,0,0,450,-1,0
31,9.6,0,0,90,-1,0
32,9.6,0,0,360,-1,0
33,9.93,0,0,450,-1,0
34,10.07,0,0,450,-1,0
35,10.3,0,0,360,-1,0
36,10.3,0,0,180,-1,0
37,10.67,0,0,360,-1,0
38,11.03,0,0,360,-1,0
39,11.27,0,0,90,-1,0
40,11.5,0,0,90,-1,0
41,11.87,0,0,180,-1,0
42,11.87,0,0,360,-1,0
43,12.23,0,0,180,-1,0
44,12.6,0,0,450,-1,0
45,12.93,0,0,90,-1,0
46,12.93,0,0,360,-1,0
47,13.2,0,0,90,-1,0
48,13.2,0,0,270,-1,0
49,13.43,0,0,180,-1,0
50,13.8,0,0,270,-1,0
51,14.13,0,0,360,-1,0
52,14.13,0,0,450,-1,0
53,14.5,0,0,450,-1,0
54,14.87,0,0,90,-1,0
55,15.1,0,0,360,-1,0
56,15.33,0,0,360,-1,0
57,15.47,0,0,90,-1,0
58,15.7,0,0,90,-1,0
59,15.93,0,0,90,-1,0
60,16.06,0,0,90,-1,0
61,17.27,0,1,90,62,0
62,17.5,1,0,90,63,1
63,17.73,1,0,90,64,1
64,18,1,0,90,65,1
65,18.23,1,0,90,66,1
66,18.47,1,0,90,67,1
67,18.7,1,0,90,68,1
68,18.93,1,0,90,68,1
69,19.2,0,1,180,70,0
70,19.32,1,0,180,71,1
71,19.51,1,0,180,72,1
72,19.8,1,0,180,73,1
73,20.03,1,0,180,74,1
74,20.33,1,0,180,75,1
75,20.63,1,0,180,76,1
76,20.87,1,0,180,-1,1
77,21.1,0,1,360,78,0
78,21.33,1,0,360,79,1
79,21.6,1,0,360,80,1
80,21.83,1,0,360,81,1
81,22.06,1,0,360,82,1
82,22.3,1,0,360,83,1
83,22.53,1,0,360,84,1
84,22.8,1,0,360,-1,1
85,23.03,0,1,450,86,0
86,23.27,1,0,450,87,1
87,23.5,1,0,450,88,1
88,23.73,1,0,450,89,1
89,24,1,0,450,90,1
90,24.23,1,0,450,91,1
91,24.5,1,0,450,92,1
92,24.83,1,0,450,-1,1
93,24.93,0,0,90,-1,0
94,24.93,0,0,360,-1,0
95,25.31,0,0,90,-1,0
96,25.67,0,0,90,-1,0
97,26.03,0,0,90,-1,0
98,26.03,0,0,360,-1,0
99,26.4,0,0,180,-1,0
100,26.57,0,0,270,-1,0
101,26.87,0,0,90,-1,0
102,26.87,0,0,360,-1,0
103,27.23,0,0,180,-1,0
104,27.23,0,0,450,-1,0
105,27.6,0,0,90,-1,0
106,27.93,0,0,360,-1,0
107,28.3,0,0,180,-1,0
108,28.3,0,0,450,-1,0
109,28.51,0,0,450,-1,0
110,28.8,0,0,90,-1,0
111,28.8,0,0,360,-1,0
112,29.13,0,0,90,-1,0
113,29.5,0,0,90,-1,0
114,29.87,0,0,90,-1,0
115,29.87,0,0,450,-1,0
116,30.23,0,0,270,-1,0
117,30.49,0,0,360,-1,0
118,30.67,0,0,180,-1,0
119,30.67,0,0,450,-1,0
120,30.83,0,0,90,-1,0
121,30.83,0,0,360,-1,0
122,31.06,0,0,450,-1,0
123,31.32,0,0,450,-1,0
124,31.43,0,0,450,-1,0
125,31.67,0,0,450,-1,0
126,31.67,0,0,450,-1,0
127,31.9,0,0,180,-1,0
128,31.9,0,0,360,-1,0
129,32.13,0,0,450,-1,0
130,32.4,0,0,90,-1,0
131,32.65,0,1,90,133,0
132,32.65,0,1,450,134,0
133,32.87,1,0,90,135,1
134,32.87,1,0,450,136,1
135,33.1,1,0,90,137,1
136,33.1,1,0,450,138,1
137,33.33,1,0,90,139,1
138,33.33,1,0,450,140,1
139,33.6,1,0,90,141,1
140,33.6,1,0,450,142,1
141,33.83,1,0,90,143,1
142,33.83,1,0,450,144,1
143,34.07,1,0,90,145,1
144,34.07,1,0,450,146,1
145,34.3,1,0,90,-1,1
146,34.3,1,0,450,-1,1
147,34.51,0,1,180,149,0
148,34.51,0,1,360,150,0
149,34.77,1,0,180,151,1
150,34.77,1,0,360,152,1
151,35,1,0,180,153,1
152,35,1,0,360,154,1
153,35.27,1,0,180,155,1
154,35.27,1,0,360,156,1
155,35.5,1,0,180,157,1
156,35.5,1,0,360,158,1
157,35.73,1,0,180,159,1
158,35.73,1,0,360,160,1
159,36,1,0,180,161,1
160,36,1,0,360,162,1
161,36.23,1,0,180,-1,1
162,36.23,1,0,360,-1,1
163,36.49,0,1,90,164,0
164,36.67,1,0,140,165,1
165,36.93,1,0,190,166,1
166,37.2,1,0,240,167,1
167,37.43,1,0,290,168,1
168,37.67,1,0,340,169,1
169,37.9,1,0,390,170,1
170,38.13,1,0,440,-1,1
171,38.4,0,1,90,172,0
172,38.66,1,0,140,173,1
173,38.87,1,0,190,174,1
174,39.1,1,0,240,175,1
175,39.33,1,0,290,176,1
176,39.57,1,0,340,177,1
177,39.8,1,0,390,178,1
178,40.06,1,0,440,-1,1
179,40.32,0,0,90,-1,0
180,40.51,0,0,180,-1,0
181,40.77,0,0,270,-1,0
182,41,0,0,360,-1,0
183,41.27,0,0,180,-1,0
184,41.5,0,0,180,-1,0
185,41.73,0,0,180,-1,0
186,41.73,0,0,360,-1,0
187,42.23,0,0,180,-1,0
188,42.47,0,0,270,-1,0
189,42.67,0,0,360,-1,0
190,42.93,0,0,450,-1,0
191,43.2,0,0,450,-1,0
192,43.2,0,0,90,-1,0
193,43.43,0,0,360,-1,0
194,43.53,0,0,180,-1,0
195,43.67,0,0,270,-1,0
196,43.67,0,0,180,-1,0
197,44.13,0,0,90,-1,0
198,44.4,0,0,180,-1,0
199,44.63,0,0,450,-1,0
200,44.87,0,0,360,-1,0
201,45.1,0,0,180,-1,0
202,45.33,0,0,360,-1,0
203,45.6,0,0,180,-1,0
204,45.6,0,0,450,-1,0
205,46.06,0,0,90,-1,0
206,46.06,0,0,360,-1,0
207,46.3,0,0,180,-1,0
208,46.43,0,0,180,-1,0
209,46.53,0,0,180,-1,0
210,46.53,0,0,450,-1,0
211,46.8,0,0,90,-1,0
212,47.27,0,0,360,-1,0
213,47.5,0,0,450,-1,0
214,48,0,0,90,-1,0
215,48.23,0,0,180,-1,0
216,48.47,0,0,270,-1,0
217,48.7,0,0,360,-1,0
218,48.93,0,0,450,-1,0
219,49.2,0,0,450,-1,0
220,49.43,0,0,180,-1,0
221,49.43,0,0,450,-1,0
222,49.9,0,0,90,-1,0
223,50.13,0,0,180,-1,0
224,50.4,0,0,270,-1,0
225,50.63,0,0,360,-1,0
226,50.87,0,0,180,-1,0
227,50.87,0,0,450,-1,0
228,51.1,0,0,360,-1,0
229,51.23,0,0,360,-1,0
230,51.33,0,0,90,-1,0
231,51.33,0,0,450,-1,0
232,51.83,0,0,180,-1,0
233,52.07,0,0,270,-1,0
234,52.3,0,0,360,-1,0
235,52.53,0,0,450,-1,0
236,52.8,0,0,90,-1,0
237,53.03,0,0,180,-1,0
238,53.27,0,0,90,-1,0
239,53.27,0,0,360,-1,0
240,53.73,0,0,90,-1,0
241,53.73,0,0,180,-1,0
242,54,0,0,360,-1,0
243,54.1,0,0,450,-1,0
244,54.23,0,0,90,-1,0
245,54.23,0,0,180,-1,0
246,54.47,0,0,450,-1,0
247,54.7,0,0,360,-1,0
248,54.93,0,0,180,-1,0
249,55.2,0,0,90,-1,0
250,55.67,0,0,90,-1,0
251,55.67,0,0,450,-1,0
252,56.63,0,0,180,-1,0
253,57.1,0,0,360,-1,0
254,57.6,0,1,270,255,0
255,58,1,0,270,256,1
256,58.4,1,0,270,257,1
257,58.8,1,0,270,258,1
258,59.03,1,0,270,-1,1
259,59.5,0,0,90,-1,0
260,59.5,0,0,450,-1,0
261,60.47,0,0,360,-1,0
262,60.93,0,0,180,-1,0
263,61.43,0,0,90,-1,0
264,61.8,0,0,180,-1,0
265,62.4,0,0,270,-1,0
266,62.87,0,0,360,-1,0
267,63.33,0,0,90,-1,0
268,63.33,0,0,450,-1,0
269,64.3,0,0,180,-1,0
270,64.8,0,0,360,-1,0
271,65.27,0,1,270,272,0
272,65.5,1,0,270,273,1
273,65.95,1,0,270,274,1
274,66.4,1,0,270,275,1
275,66.7,1,0,270,-1,1
276,67.2,0,0,90,-1,0
277,67.2,0,0,360,-1,0
278,68.13,0,0,450,-1,0
279,69.1,0,0,90,-1,0
280,69.43,0,0,90,-1,0
281,69.76,0,0,90,-1,0
282,70.1,0,0,90,-1,0
283,70.3,0,0,180,-1,0
284,70.67,0,0,360,-1,0
285,71,0,1,90,287,0
286,71,0,1,450,288,0
287,71.27,1,0,115,289,1
288,71.27,1,0,425,290,1
289,71.5,1,0,140,291,1
290,71.5,1,0,400,292,1
291,71.73,1,0,165,293,1
292,71.73,1,0,375,294,1
293,72,1,0,190,295,1
294,72,1,0,350,296,1
295,72.23,1,0,215,297,1
296,72.23,1,0,325,298,1
297,72.47,1,0,240,299,1
298,72.47,1,0,300,299,1
299,72.7,1,0,270,-1,1
300,72.93,0,1,90,302,0
301,72.93,0,1,450,303,0
